Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
C,7,7,33.6,11.3,21.3,0.53,1.4,3.6,0.4,9.9,17.7,0.556,0.564,7.7,9.1,0.844,2.3,8.6,10.9,5.9,0.7,2.3,3.7,2.4,31.7
SG,2,2,36.0,11.5,20.0,0.575,4.0,7.5,0.533,7.5,12.5,0.6,0.675,4.5,4.5,1.0,1.0,6.5,7.5,10.5,0.5,0.0,5.5,4.0,31.5
PG,8,8,37.4,10.5,21.8,0.483,4.1,10.6,0.388,6.4,11.1,0.573,0.578,6.4,8.3,0.773,0.8,8.5,9.3,8.8,1.4,0.6,4.9,2.3,31.5
PG,3,3,35.3,11.3,23.3,0.486,3.0,8.0,0.375,8.3,15.3,0.543,0.55,5.7,7.0,0.81,1.0,3.3,4.3,6.0,1.3,0.7,2.7,4.0,31.3
SG,7,7,35.9,11.1,21.9,0.51,3.4,9.4,0.364,7.7,12.4,0.621,0.588,5.0,5.6,0.897,1.1,3.7,4.9,5.6,2.3,0.6,2.7,2.1,30.7
PG,9,9,32.1,9.4,18.4,0.512,5.9,12.4,0.473,3.6,6.0,0.593,0.672,5.2,5.7,0.922,0.9,3.9,4.8,4.2,1.0,0.1,3.6,1.6,30.0
PF,8,8,36.6,10.1,19.8,0.513,1.4,3.9,0.355,8.8,15.9,0.551,0.547,7.6,9.1,0.836,0.5,6.1,6.6,4.6,1.0,1.3,4.3,1.4,29.3
C,9,9,34.2,11.9,19.1,0.622,1.4,4.3,0.333,10.4,14.8,0.707,0.66,3.9,5.4,0.714,3.1,9.8,12.9,8.0,1.1,0.8,3.4,2.1,29.1
SF,7,7,36.4,10.4,19.4,0.537,3.3,8.0,0.411,7.1,11.4,0.625,0.621,4.3,5.3,0.811,0.6,9.1,9.7,3.6,1.6,0.1,3.0,2.1,28.4
PG,7,7,35.1,10.6,20.7,0.51,1.3,4.0,0.321,9.3,16.7,0.556,0.541,5.7,6.3,0.909,0.9,6.1,7.0,6.4,2.3,0.6,2.6,2.3,28.1
SG,7,7,35.4,10.6,20.7,0.51,2.7,6.3,0.432,7.9,14.4,0.545,0.576,4.0,4.9,0.824,0.7,5.4,6.1,5.3,1.1,0.3,3.6,2.1,27.9
SG,8,7,32.4,9.9,20.6,0.479,2.1,6.6,0.321,7.8,14.0,0.554,0.53,5.0,5.9,0.851,0.3,3.5,3.8,2.1,0.9,0.6,1.3,1.9,26.9
SF,7,7,34.3,8.0,16.4,0.487,3.4,8.1,0.421,4.6,8.3,0.552,0.591,6.0,6.3,0.955,0.6,4.9,5.4,3.4,2.6,0.1,2.9,2.3,25.4
PG,7,7,37.6,9.1,19.0,0.481,3.1,7.7,0.407,6.0,11.3,0.532,0.564,4.0,4.4,0.903,0.7,4.4,5.1,7.0,0.9,0.7,1.1,1.7,25.4
SG,8,8,35.1,9.3,20.5,0.451,3.1,9.4,0.333,6.1,11.1,0.551,0.527,3.5,4.0,0.875,0.8,4.3,5.0,3.9,1.9,0.9,2.5,3.1,25.1
PF,7,7,29.3,10.1,20.0,0.507,2.6,7.3,0.353,7.6,12.7,0.596,0.571,2.1,2.6,0.833,1.4,5.4,6.9,3.3,0.1,0.4,1.7,1.3,25.0
PF,7,7,31.0,9.0,17.1,0.525,0.7,2.7,0.263,8.3,14.4,0.574,0.546,5.7,9.1,0.625,2.3,6.7,9.0,3.4,0.7,1.6,3.7,2.4,24.4
PF,8,8,34.8,9.5,17.0,0.559,1.6,5.3,0.31,7.9,11.8,0.67,0.607,3.8,5.6,0.667,0.5,7.6,8.1,5.4,1.4,1.0,4.1,1.6,24.4
PG,7,7,33.7,6.3,15.7,0.4,2.4,8.3,0.293,3.9,7.4,0.519,0.477,9.3,10.0,0.929,0.6,3.9,4.4,4.7,1.1,0.1,2.6,1.3,24.3
PG,9,9,35.9,8.9,21.3,0.417,2.2,6.8,0.328,6.7,14.6,0.458,0.469,4.0,4.7,0.857,0.4,3.2,3.7,7.1,0.7,0.2,5.4,3.1,24.0
PF,9,9,33.1,8.1,17.1,0.474,4.1,9.2,0.446,4.0,7.9,0.507,0.594,3.7,4.2,0.868,2.7,6.1,8.8,1.7,0.8,0.7,1.6,2.4,24.0
C,7,7,36.9,9.0,16.3,0.553,0.4,1.0,0.429,8.6,15.3,0.561,0.566,5.4,6.1,0.884,3.1,8.9,12.0,3.3,1.0,3.3,1.4,3.3,23.9
PG,7,7,32.0,8.0,16.3,0.491,2.7,7.3,0.373,5.3,9.0,0.587,0.575,4.1,4.4,0.935,0.4,3.6,4.0,11.9,1.0,0.6,2.7,1.3,22.9
SG,8,8,34.0,8.5,19.0,0.447,3.1,7.6,0.41,5.4,11.4,0.473,0.53,2.8,3.1,0.88,0.4,4.6,5.0,4.6,1.4,0.0,2.5,1.6,22.9
PF,8,8,37.0,7.5,18.3,0.411,2.3,6.6,0.34,5.3,11.6,0.452,0.473,5.5,7.1,0.772,1.3,3.6,4.9,2.0,0.5,1.0,2.9,2.4,22.8
C,7,7,34.0,8.1,16.0,0.509,0.1,0.3,0.5,8.0,15.7,0.509,0.513,6.3,8.1,0.772,2.1,7.1,9.3,3.4,0.9,1.6,3.6,2.6,22.7
SG,7,7,34.4,8.4,16.9,0.5,2.1,5.6,0.385,6.3,11.3,0.557,0.564,3.6,4.1,0.862,0.9,3.9,4.7,6.1,1.0,0.4,2.6,1.3,22.6
PG,8,8,34.8,7.9,19.5,0.404,2.6,6.1,0.429,5.3,13.4,0.393,0.471,4.1,5.0,0.825,0.9,2.8,3.6,4.8,1.1,0.0,2.4,2.1,22.5
C,8,8,32.9,7.6,15.5,0.492,2.0,5.6,0.356,5.6,9.9,0.57,0.556,5.1,6.4,0.804,1.9,5.3,7.1,2.5,0.4,2.1,1.8,3.4,22.4
SG,9,9,34.8,7.6,17.8,0.425,2.4,7.2,0.338,5.1,10.6,0.484,0.494,4.9,5.8,0.846,0.4,4.2,4.7,2.9,0.8,0.2,2.4,2.2,22.4
SG,6,6,31.2,7.7,16.2,0.474,2.7,5.7,0.471,5.0,10.5,0.476,0.557,4.3,5.0,0.867,0.7,2.7,3.3,3.3,0.5,0.2,2.3,1.2,22.3
SG,5,5,35.8,8.4,18.0,0.467,1.6,6.2,0.258,6.8,11.8,0.576,0.511,3.6,4.4,0.818,0.8,3.2,4.0,5.0,0.6,0.4,2.2,0.8,22.0
PF,6,6,32.0,9.0,17.8,0.505,0.0,0.2,0.0,9.0,17.7,0.509,0.505,3.8,6.3,0.605,3.3,3.7,7.0,4.7,0.8,0.0,2.0,2.3,21.8
SG,6,6,34.3,7.3,16.7,0.44,3.2,8.3,0.38,4.2,8.3,0.5,0.535,3.8,5.2,0.742,0.8,4.0,4.8,5.7,1.5,0.8,1.3,2.3,21.7
PG,7,7,35.6,5.9,17.4,0.336,1.7,6.3,0.273,4.1,11.1,0.372,0.385,8.3,9.3,0.892,0.7,2.1,2.9,10.4,1.4,0.0,4.3,1.7,21.7
SG,8,8,36.9,8.0,16.5,0.485,2.0,5.3,0.381,6.0,11.3,0.533,0.545,3.5,4.6,0.757,3.0,7.4,10.4,6.0,1.5,2.1,2.9,2.5,21.5
SF,7,7,34.1,8.0,18.3,0.438,2.6,7.3,0.353,5.4,11.0,0.494,0.508,2.9,4.0,0.714,0.4,5.1,5.6,2.7,1.1,0.4,2.4,3.3,21.4
SF,9,9,34.6,7.6,17.3,0.436,0.7,2.1,0.316,6.9,15.2,0.453,0.455,5.7,6.9,0.823,1.1,2.0,3.1,4.6,1.3,0.8,0.9,2.2,21.4
SF,5,5,33.4,9.0,18.4,0.489,0.6,3.8,0.158,8.4,14.6,0.575,0.505,2.8,3.2,0.875,0.8,4.4,5.2,4.6,0.6,0.2,3.6,2.0,21.4
SF,7,7,33.6,8.3,17.6,0.472,2.9,6.9,0.417,5.4,10.7,0.507,0.553,2.0,2.9,0.7,1.3,4.7,6.0,4.0,1.6,0.3,1.7,1.6,21.4
PF,7,7,30.9,6.7,12.3,0.547,2.0,4.9,0.412,4.7,7.4,0.635,0.628,5.4,6.6,0.826,1.7,5.0,6.7,1.6,0.6,1.6,1.1,3.7,20.9
SF,8,8,35.4,7.5,15.9,0.472,1.9,5.9,0.319,5.6,10.0,0.563,0.531,3.5,4.0,0.875,1.3,4.4,5.6,4.3,1.3,0.6,1.9,2.1,20.4
SG,6,6,35.3,7.8,18.2,0.431,1.7,6.0,0.278,6.2,12.2,0.507,0.477,3.0,3.5,0.857,0.3,3.5,3.8,7.3,1.5,0.5,1.8,2.2,20.3
SG,8,7,39.1,6.8,15.3,0.443,2.3,6.3,0.36,4.5,9.0,0.5,0.516,4.1,5.0,0.825,1.9,3.4,5.3,2.9,1.0,0.8,2.8,2.6,19.9
PG,7,7,32.1,6.6,17.0,0.387,2.6,8.0,0.321,4.0,9.0,0.444,0.462,3.9,4.7,0.818,1.6,3.4,5.0,9.0,1.4,0.3,4.0,4.0,19.6
SG,7,7,31.3,6.6,14.3,0.46,2.1,4.7,0.455,4.4,9.6,0.463,0.535,4.3,6.0,0.714,0.6,3.7,4.3,2.6,0.7,0.4,2.6,1.7,19.6
SF,7,7,36.3,6.9,11.4,0.6,1.3,3.4,0.375,5.6,8.0,0.696,0.656,4.3,4.9,0.882,0.9,5.6,6.4,2.7,1.1,0.6,2.3,1.9,19.3
PF,8,8,29.1,6.5,14.8,0.441,1.5,5.1,0.293,5.0,9.6,0.519,0.492,4.3,5.4,0.791,2.3,6.3,8.5,1.8,1.1,2.4,3.5,2.3,18.8
SF,7,7,33.6,6.9,17.3,0.397,2.0,6.1,0.326,4.9,11.1,0.436,0.455,3.0,3.6,0.84,1.3,4.3,5.6,3.3,1.4,0.4,2.1,2.7,18.7
PF,7,7,33.4,5.9,13.6,0.432,1.0,2.0,0.5,4.9,11.6,0.42,0.468,5.7,6.6,0.87,2.7,3.4,6.1,3.4,1.6,0.3,1.3,0.6,18.4
SG,7,1,33.4,6.3,15.3,0.411,2.1,6.3,0.341,4.1,9.0,0.46,0.481,3.6,5.0,0.714,0.3,4.1,4.4,4.4,0.9,0.4,1.6,2.0,18.3
C,7,7,30.7,7.9,13.1,0.598,0.6,1.7,0.333,7.3,11.4,0.638,0.62,2.0,3.3,0.609,2.1,6.1,8.3,6.6,0.9,0.1,1.7,2.9,18.3
PF,7,7,33.3,6.1,13.0,0.473,0.7,2.3,0.313,5.4,10.7,0.507,0.5,5.1,7.7,0.667,1.0,5.0,6.0,5.6,1.6,0.4,3.6,2.9,18.1
SF,8,0,28.8,6.1,14.0,0.438,3.8,9.3,0.405,2.4,4.8,0.5,0.571,2.0,2.0,1.0,0.5,3.4,3.9,1.4,0.4,0.0,1.3,0.8,18.0
SG,1,1,27.0,6.0,14.0,0.429,2.0,6.0,0.333,4.0,8.0,0.5,0.5,4.0,4.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,0.0,2.0,18.0
PG,8,8,34.1,6.8,14.9,0.454,2.0,6.3,0.32,4.8,8.6,0.551,0.521,2.4,2.6,0.905,0.3,2.9,3.1,6.1,0.5,0.8,2.1,2.5,17.9
PF,7,7,33.6,7.3,13.9,0.526,1.4,4.3,0.333,5.9,9.6,0.612,0.577,1.9,2.4,0.765,1.0,4.3,5.3,1.9,0.4,0.7,1.1,3.0,17.9
SF,7,7,31.9,6.7,12.1,0.553,2.9,6.9,0.417,3.9,5.3,0.73,0.671,1.3,2.1,0.6,0.6,3.7,4.3,1.7,1.1,0.7,1.9,2.6,17.6
PF,7,7,31.7,6.6,15.6,0.422,1.7,5.6,0.308,4.9,10.0,0.486,0.477,2.7,3.1,0.864,0.9,7.4,8.3,2.3,0.9,0.7,2.6,3.6,17.6
SF,7,7,32.7,6.7,14.1,0.475,1.1,2.6,0.444,5.6,11.6,0.481,0.515,2.9,4.1,0.69,1.4,4.4,5.9,5.1,1.6,0.7,2.1,2.1,17.4
SF,7,4,29.4,6.3,12.1,0.518,2.0,4.9,0.412,4.3,7.3,0.588,0.6,2.9,3.6,0.8,1.3,3.4,4.7,0.6,1.3,0.4,1.0,2.3,17.4
SG,7,7,26.9,6.3,15.1,0.415,2.1,6.7,0.319,4.1,8.4,0.492,0.486,2.7,3.4,0.792,0.4,1.4,1.9,3.3,1.4,0.6,2.6,2.3,17.4
C,7,7,34.3,6.7,11.6,0.58,0.3,1.1,0.25,6.4,10.4,0.616,0.593,3.7,6.0,0.619,3.9,9.0,12.9,6.1,1.0,0.7,3.4,3.1,17.4
PF,8,8,35.8,6.9,15.3,0.451,1.5,5.1,0.293,5.4,10.1,0.531,0.5,2.1,3.0,0.708,1.0,5.9,6.9,4.8,0.4,0.1,2.3,3.0,17.4
PG,8,3,27.8,6.1,15.1,0.405,2.0,5.9,0.34,4.1,9.3,0.446,0.471,3.0,3.8,0.8,1.0,3.8,4.8,5.5,0.8,0.0,1.6,1.4,17.3
C,8,8,25.9,6.1,11.3,0.544,1.5,3.9,0.387,4.6,7.4,0.627,0.611,3.4,4.4,0.771,1.5,7.0,8.5,1.5,0.5,1.8,1.6,3.1,17.1
PG,4,4,32.5,6.0,12.8,0.471,0.5,3.8,0.133,5.5,9.0,0.611,0.49,4.5,5.0,0.9,0.5,1.5,2.0,6.8,1.5,0.5,6.0,2.5,17.0
PG,8,8,32.9,6.3,13.3,0.472,2.0,5.0,0.4,4.3,8.3,0.515,0.547,2.5,3.3,0.769,0.9,1.9,2.8,8.4,1.1,0.3,1.9,1.4,17.0
PF,8,8,29.8,5.8,10.0,0.575,1.9,3.4,0.556,3.9,6.6,0.585,0.669,3.4,3.8,0.9,1.9,6.0,7.9,2.6,1.0,2.5,2.0,3.5,16.8
SG,6,5,27.8,6.3,12.2,0.521,1.8,4.8,0.379,4.5,7.3,0.614,0.596,2.3,3.2,0.737,0.3,2.8,3.2,2.2,1.0,0.0,1.5,1.0,16.8
SG,8,8,33.5,6.1,12.0,0.51,1.0,2.9,0.348,5.1,9.1,0.562,0.552,3.5,4.0,0.875,0.4,4.1,4.5,4.1,0.6,0.4,2.3,3.3,16.8
PF,8,8,34.4,5.4,17.0,0.316,1.8,6.8,0.259,3.6,10.3,0.354,0.368,4.0,6.0,0.667,2.4,8.8,11.1,4.9,0.9,0.0,3.0,2.6,16.5
SF,8,8,31.5,6.3,13.6,0.459,2.6,7.5,0.35,3.6,6.1,0.592,0.555,1.3,1.6,0.769,0.8,2.9,3.6,2.0,0.4,0.6,2.0,2.6,16.4
SG,5,5,31.2,5.6,10.4,0.538,2.8,6.0,0.467,2.8,4.4,0.636,0.673,2.4,2.8,0.857,1.2,2.8,4.0,4.4,1.4,1.2,1.8,2.2,16.4
PG,7,7,30.9,6.0,13.9,0.433,2.0,4.6,0.438,4.0,9.3,0.431,0.505,2.3,2.7,0.842,0.4,2.1,2.6,7.4,0.3,0.7,2.3,1.9,16.3
C,9,9,34.8,7.1,14.3,0.496,0.8,2.6,0.304,6.3,11.8,0.538,0.523,1.3,1.8,0.75,2.8,7.9,10.7,2.6,0.9,0.6,1.9,2.7,16.3
SG,7,0,22.6,5.9,11.3,0.519,2.3,5.3,0.432,3.6,6.0,0.595,0.62,2.3,3.0,0.762,0.1,2.4,2.6,2.0,0.7,0.6,1.3,1.1,16.3
SF,9,9,28.7,6.1,13.3,0.458,2.7,7.1,0.375,3.4,6.2,0.554,0.558,1.1,1.2,0.909,2.0,6.0,8.0,2.0,0.4,0.9,0.8,2.2,16.0
PG,7,0,24.9,5.3,11.0,0.481,1.7,4.0,0.429,3.6,7.0,0.51,0.558,3.6,4.7,0.758,0.7,3.7,4.4,2.9,0.9,0.4,1.7,2.4,15.9
SF,8,8,31.6,6.3,13.5,0.463,1.6,4.8,0.342,4.6,8.8,0.529,0.523,1.8,2.5,0.7,1.0,4.5,5.5,4.5,0.9,0.3,1.3,3.1,15.9
PF,8,8,32.9,6.6,13.1,0.505,0.1,0.6,0.2,6.5,12.5,0.52,0.51,2.4,3.4,0.704,2.9,7.9,10.8,3.1,0.8,2.1,2.0,2.6,15.8
PG,7,7,34.6,5.3,14.6,0.363,3.0,8.3,0.362,2.3,6.3,0.364,0.466,2.0,2.1,0.933,0.1,3.6,3.7,8.4,0.6,0.3,1.7,2.1,15.6
SG,9,9,30.9,5.6,15.1,0.368,1.4,5.2,0.277,4.1,9.9,0.416,0.415,2.9,3.6,0.813,1.6,2.0,3.6,5.0,0.7,0.1,3.8,1.6,15.4
SF,8,8,30.6,4.9,9.1,0.534,2.6,5.0,0.525,2.3,4.1,0.545,0.678,2.8,3.4,0.815,1.3,3.3,4.5,1.3,1.1,1.1,1.3,2.6,15.1
SG,8,0,24.1,5.5,11.6,0.473,1.8,5.4,0.326,3.8,6.3,0.6,0.548,2.4,2.8,0.864,0.5,2.8,3.3,3.5,0.5,0.0,1.5,1.3,15.1
PG,7,7,33.0,6.6,13.3,0.495,1.3,3.7,0.346,5.3,9.6,0.552,0.543,0.7,1.4,0.5,1.6,5.6,7.1,6.7,1.6,0.4,3.4,3.1,15.1
SG,4,0,25.5,4.3,9.8,0.436,3.5,6.5,0.538,0.8,3.3,0.231,0.615,3.0,3.8,0.8,0.3,3.0,3.3,2.3,0.3,0.8,0.0,1.5,15.0
SG,7,7,32.6,5.3,9.3,0.569,2.0,3.7,0.538,3.3,5.6,0.59,0.677,2.1,2.3,0.938,0.6,4.0,4.6,2.0,1.1,0.0,2.1,3.1,14.7
PF,9,9,30.3,5.7,10.8,0.526,1.3,3.6,0.375,4.3,7.2,0.6,0.588,2.0,2.8,0.72,2.8,5.8,8.6,1.0,0.7,0.3,1.1,3.7,14.7
SG,7,0,23.0,4.3,11.0,0.39,2.0,6.0,0.333,2.3,5.0,0.457,0.481,4.1,5.0,0.829,1.0,1.6,2.6,5.3,0.3,0.9,2.3,1.4,14.7
C,7,0,23.4,5.4,9.9,0.551,2.0,4.6,0.438,3.4,5.3,0.649,0.652,1.9,2.0,0.929,1.0,3.4,4.4,0.9,0.9,0.3,1.0,0.9,14.7
SF,7,7,30.4,5.0,10.6,0.473,1.9,5.1,0.361,3.1,5.4,0.579,0.561,2.7,3.4,0.792,0.6,3.9,4.4,1.3,1.0,0.3,1.3,3.1,14.6
C,7,7,25.0,5.6,6.7,0.83,0.0,0.0,,5.6,6.7,0.83,0.83,3.4,4.6,0.75,2.6,5.3,7.9,0.9,1.0,1.0,1.6,2.4,14.6
SG,2,2,33.5,5.0,9.0,0.556,2.0,4.5,0.444,3.0,4.5,0.667,0.667,2.5,2.5,1.0,0.0,5.5,5.5,5.5,1.5,0.0,3.5,1.0,14.5
SF,7,4,30.1,6.0,10.4,0.575,0.9,2.7,0.316,5.1,7.7,0.667,0.616,1.4,2.3,0.625,2.0,6.9,8.9,2.7,1.3,0.7,1.9,2.4,14.3
PF,8,8,31.3,4.6,8.8,0.529,3.4,6.4,0.529,1.3,2.4,0.526,0.721,1.4,2.1,0.647,0.9,3.3,4.1,1.1,0.3,0.6,0.9,3.0,14.0
C,8,8,30.0,5.6,10.6,0.529,1.0,3.9,0.258,4.6,6.8,0.685,0.576,1.6,2.4,0.684,1.6,5.0,6.6,4.1,0.8,1.1,2.8,3.1,13.9
C,7,7,29.7,6.3,9.9,0.638,0.0,0.1,0.0,6.3,9.7,0.647,0.638,1.3,1.7,0.75,3.9,7.7,11.6,3.1,0.7,1.1,2.7,3.9,13.9
PF,7,7,30.0,5.6,11.1,0.5,2.1,5.4,0.395,3.4,5.7,0.6,0.596,0.6,1.1,0.5,1.6,5.4,7.0,1.4,0.7,0.4,1.1,3.7,13.9
PF,8,7,32.9,5.1,10.6,0.482,3.4,7.5,0.45,1.8,3.1,0.56,0.641,0.1,0.4,0.333,2.0,4.0,6.0,1.6,0.1,0.9,1.0,2.1,13.8
SG,8,5,29.8,5.6,12.9,0.437,2.0,6.5,0.308,3.6,6.4,0.569,0.515,0.4,0.4,1.0,0.5,1.8,2.3,3.1,0.8,0.5,1.5,1.1,13.6
PG,8,8,32.4,5.3,11.9,0.442,1.8,6.0,0.292,3.5,5.9,0.596,0.516,1.4,1.9,0.733,0.4,2.4,2.8,5.6,2.6,0.3,3.9,3.3,13.6
SF,8,8,35.3,4.8,12.3,0.388,2.8,8.4,0.328,2.0,3.9,0.516,0.5,1.3,1.5,0.833,0.4,5.5,5.9,3.3,0.6,0.8,1.1,2.4,13.5
PF,9,9,31.2,5.8,10.6,0.547,0.6,2.0,0.278,5.2,8.6,0.61,0.574,1.3,2.4,0.545,2.4,4.7,7.1,3.8,1.4,1.1,2.0,1.9,13.4
PG,7,7,34.3,5.0,11.3,0.443,1.7,4.6,0.375,3.3,6.7,0.489,0.519,1.7,2.0,0.857,1.9,5.4,7.3,5.3,0.4,1.1,1.9,1.6,13.4
SG,7,0,25.1,4.9,9.1,0.531,2.0,4.9,0.412,2.9,4.3,0.667,0.641,1.7,2.1,0.8,0.1,2.1,2.3,1.4,0.7,0.7,1.4,2.3,13.4
SG,8,8,31.3,4.6,9.5,0.487,3.1,6.1,0.51,1.5,3.4,0.444,0.651,0.9,0.9,1.0,1.0,3.8,4.8,3.0,0.4,0.4,1.8,2.1,13.3
PF,7,7,31.7,4.4,8.4,0.525,2.1,4.7,0.455,2.3,3.7,0.615,0.653,2.3,3.0,0.762,0.4,2.3,2.7,1.0,0.6,0.1,0.4,1.0,13.3
SF,7,2,31.1,4.9,11.0,0.442,1.3,4.0,0.321,3.6,7.0,0.51,0.5,2.1,2.7,0.789,1.4,3.1,4.6,1.7,0.4,0.4,1.0,3.4,13.1
SG,8,8,32.0,4.6,11.1,0.416,1.3,4.5,0.278,3.4,6.6,0.509,0.472,2.6,3.3,0.808,1.3,3.1,4.4,4.0,1.5,0.1,2.6,1.9,13.1
SF,7,7,24.7,5.1,9.7,0.529,1.1,2.4,0.471,4.0,7.3,0.549,0.588,1.6,2.0,0.786,1.6,3.7,5.3,3.6,1.0,0.3,1.1,2.4,13.0
SG,1,1,24.0,3.0,12.0,0.25,3.0,6.0,0.5,0.0,6.0,0.0,0.375,4.0,4.0,1.0,0.0,4.0,4.0,4.0,0.0,1.0,2.0,0.0,13.0
SF,8,0,23.3,4.9,11.1,0.438,3.3,8.0,0.406,1.6,3.1,0.52,0.584,0.0,0.1,0.0,0.8,2.8,3.5,3.1,0.5,0.8,1.6,1.3,13.0
SF,8,0,24.8,4.6,8.5,0.544,2.3,4.6,0.486,2.4,3.9,0.613,0.676,1.4,2.1,0.647,1.1,2.6,3.8,1.0,0.9,0.8,0.5,2.6,12.9
SG,8,5,27.6,4.3,11.1,0.382,2.8,7.5,0.367,1.5,3.6,0.414,0.506,1.5,1.9,0.8,0.9,2.8,3.6,1.6,0.8,0.0,1.0,1.9,12.8
C,7,7,32.4,4.4,8.0,0.554,0.0,0.0,,4.4,8.0,0.554,0.554,3.9,6.4,0.6,4.0,9.6,13.6,1.0,0.7,2.1,1.7,2.6,12.7
SG,7,0,24.0,4.7,11.1,0.423,2.4,7.3,0.333,2.3,3.9,0.593,0.532,0.6,0.6,1.0,0.4,2.0,2.4,3.3,1.6,0.4,0.9,1.4,12.4
PF,8,0,20.1,4.5,10.6,0.424,0.5,2.3,0.222,4.0,8.4,0.478,0.447,2.9,3.9,0.742,1.0,2.0,3.0,0.8,0.6,0.5,1.5,2.8,12.4
SG,8,8,24.3,4.6,10.9,0.425,1.1,3.6,0.31,3.5,7.3,0.483,0.477,2.0,2.5,0.8,1.5,2.1,3.6,2.8,0.9,0.0,1.5,1.5,12.4
PG,9,0,18.9,4.1,8.8,0.468,1.0,2.8,0.36,3.1,6.0,0.519,0.525,3.2,3.8,0.853,0.7,1.4,2.1,2.3,0.0,0.1,1.9,1.8,12.4
SF,7,7,33.4,4.7,14.0,0.337,2.0,8.0,0.25,2.7,6.0,0.452,0.408,0.9,1.1,0.75,1.7,4.4,6.1,2.1,1.3,0.9,1.1,2.7,12.3
C,9,9,34.8,4.6,9.3,0.488,1.7,3.9,0.429,2.9,5.4,0.531,0.577,1.6,2.1,0.737,1.8,5.8,7.6,1.6,0.1,0.7,2.2,3.0,12.3
SF,7,3,27.9,4.4,9.1,0.484,1.9,4.6,0.406,2.6,4.6,0.563,0.586,1.4,1.6,0.909,2.1,3.7,5.9,1.3,1.0,0.3,1.1,1.3,12.1
PF,8,8,28.1,5.4,13.5,0.398,0.5,2.1,0.235,4.9,11.4,0.429,0.417,0.9,1.1,0.778,1.1,4.8,5.9,4.5,0.6,0.4,2.8,1.1,12.1
C,3,3,25.0,4.3,6.3,0.684,0.0,0.0,,4.3,6.3,0.684,0.684,3.3,4.7,0.714,3.7,3.7,7.3,1.3,1.0,1.0,1.3,1.7,12.0
PF,4,0,17.5,4.5,8.3,0.545,1.3,3.0,0.417,3.3,5.3,0.619,0.621,1.8,2.8,0.636,1.3,3.0,4.3,0.8,0.8,0.5,0.3,1.3,12.0
PF,1,1,26.0,5.0,10.0,0.5,1.0,4.0,0.25,4.0,6.0,0.667,0.55,1.0,2.0,0.5,2.0,3.0,5.0,3.0,2.0,0.0,2.0,1.0,12.0
C,7,0,17.7,4.7,6.6,0.717,1.1,1.7,0.667,3.6,4.9,0.735,0.804,1.3,1.7,0.75,2.0,4.9,6.9,1.3,0.6,0.4,1.1,2.6,11.9
SG,9,9,32.2,4.3,11.2,0.386,1.6,5.4,0.286,2.8,5.8,0.481,0.455,1.7,1.9,0.882,0.3,3.0,3.3,4.4,0.9,0.3,1.7,2.1,11.9
SG,6,0,20.7,4.3,8.8,0.491,1.5,3.7,0.409,2.8,5.2,0.548,0.575,1.7,2.0,0.833,0.7,1.8,2.5,2.5,0.7,0.5,1.8,3.2,11.8
PF,7,0,20.4,4.4,9.4,0.47,0.3,1.9,0.154,4.1,7.6,0.547,0.485,2.4,3.4,0.708,1.1,4.1,5.3,1.6,1.1,0.3,1.0,1.9,11.6
C,8,8,24.1,4.4,9.0,0.486,0.8,2.1,0.353,3.6,6.9,0.527,0.528,2.1,2.4,0.895,1.8,6.8,8.5,1.6,0.3,1.1,1.8,2.6,11.6
C,8,8,31.5,5.5,9.5,0.579,0.0,0.0,,5.5,9.5,0.579,0.579,0.4,0.4,1.0,3.0,9.9,12.9,1.4,2.0,0.9,1.8,3.3,11.4
SF,8,0,26.1,4.4,9.5,0.461,2.5,6.6,0.377,1.9,2.9,0.652,0.592,0.1,0.3,0.5,0.4,1.9,2.3,2.0,0.4,0.0,1.3,2.1,11.4
PG,8,8,30.3,4.5,9.8,0.462,1.9,4.4,0.429,2.6,5.4,0.488,0.558,0.4,0.5,0.75,0.5,3.5,4.0,2.1,1.0,0.1,1.0,2.1,11.3
SF,9,9,31.8,4.4,11.1,0.4,0.4,2.7,0.167,4.0,8.4,0.474,0.42,2.0,2.4,0.818,4.1,5.6,9.7,3.7,1.3,1.8,2.1,3.6,11.3
C,7,0,18.1,4.6,7.1,0.64,0.6,2.0,0.286,4.0,5.1,0.778,0.68,1.6,2.0,0.786,1.4,2.7,4.1,0.7,0.6,0.7,1.4,2.9,11.3
PG,4,4,28.8,5.5,11.0,0.5,0.0,0.8,0.0,5.5,10.3,0.537,0.5,0.0,0.3,0.0,1.5,2.3,3.8,4.3,1.3,0.5,1.3,1.3,11.0
PG,7,2,22.7,4.3,10.1,0.423,2.0,5.3,0.378,2.3,4.9,0.471,0.521,0.4,0.6,0.75,0.1,1.1,1.3,2.4,0.7,0.0,2.0,2.3,11.0
C,7,0,22.6,3.9,6.1,0.628,0.3,1.0,0.286,3.6,5.1,0.694,0.651,3.0,3.1,0.955,2.9,4.4,7.3,1.4,0.4,0.4,0.7,2.9,11.0
