Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PG,8,8,30.8,2.4,5.8,0.413,1.8,4.4,0.4,0.6,1.4,0.455,0.565,0.4,0.4,1.0,1.1,3.8,4.9,5.3,1.4,0.4,1.9,2.8,6.9
PF,6,0,14.3,2.2,4.3,0.5,0.2,1.0,0.167,2.0,3.3,0.6,0.519,2.3,2.7,0.875,1.5,3.2,4.7,0.3,0.3,0.5,0.8,3.0,6.8
PG,5,0,13.2,2.8,4.8,0.583,0.0,0.2,0.0,2.8,4.6,0.609,0.583,1.2,1.2,1.0,0.6,2.0,2.6,3.8,0.6,0.0,0.6,1.0,6.8
C,8,0,12.1,2.8,4.4,0.629,0.0,0.0,,2.8,4.4,0.629,0.629,1.3,2.1,0.588,2.0,4.0,6.0,0.4,0.4,0.5,1.3,1.9,6.8
C,6,0,19.8,2.8,4.3,0.654,0.0,0.0,,2.8,4.3,0.654,0.654,1.2,1.5,0.778,1.8,4.5,6.3,0.8,1.2,1.2,1.2,2.8,6.8
C,9,9,23.6,2.9,4.2,0.684,0.0,0.0,,2.9,4.2,0.684,0.684,0.9,1.1,0.8,2.7,6.0,8.7,3.2,0.9,0.6,1.2,2.8,6.7
PF,3,0,12.7,2.3,4.0,0.583,0.7,1.3,0.5,1.7,2.7,0.625,0.667,1.3,1.3,1.0,1.0,2.7,3.7,2.7,1.3,0.0,1.7,1.7,6.7
PG,5,2,17.4,2.6,3.8,0.684,0.8,1.4,0.571,1.8,2.4,0.75,0.789,0.6,1.0,0.6,0.8,1.6,2.4,1.4,0.6,0.4,0.4,1.4,6.6
PG,7,3,21.6,2.6,6.4,0.4,1.3,3.4,0.375,1.3,3.0,0.429,0.5,0.1,0.1,1.0,0.1,1.6,1.7,3.0,0.6,0.3,1.1,2.6,6.6
PG,2,0,9.0,2.5,3.5,0.714,0.0,0.5,0.0,2.5,3.0,0.833,0.714,1.5,1.5,1.0,1.0,1.5,2.5,1.0,0.5,0.0,0.5,1.5,6.5
SF,8,2,18.6,2.8,5.5,0.5,0.6,2.5,0.25,2.1,3.0,0.708,0.557,0.4,0.5,0.75,0.9,2.0,2.9,1.9,1.1,0.3,1.0,2.1,6.5
PF,2,1,14.0,2.0,4.0,0.5,1.5,2.5,0.6,0.5,1.5,0.333,0.688,1.0,1.0,1.0,0.0,7.5,7.5,2.0,0.5,0.0,1.0,1.0,6.5
C,8,8,29.9,2.6,5.4,0.488,0.0,0.0,,2.6,5.4,0.488,0.488,1.3,2.6,0.476,6.3,6.1,12.4,0.5,1.5,1.0,0.4,2.3,6.5
PG,6,6,31.8,3.2,6.0,0.528,0.0,0.0,,3.2,6.0,0.528,0.528,0.2,0.7,0.25,2.7,8.2,10.8,6.7,0.5,0.8,2.5,2.7,6.5
PF,7,0,12.9,2.3,3.7,0.615,0.3,0.7,0.4,2.0,3.0,0.667,0.654,1.6,2.4,0.647,1.3,1.7,3.0,0.6,0.1,0.1,0.6,1.1,6.4
PF,8,1,22.9,2.3,7.1,0.316,1.3,4.6,0.27,1.0,2.5,0.4,0.404,0.5,0.5,1.0,0.4,4.0,4.4,1.0,0.1,0.1,0.5,3.0,6.3
C,7,1,17.1,1.7,2.1,0.8,0.1,0.1,1.0,1.6,2.0,0.786,0.833,2.7,3.7,0.731,1.6,1.6,3.1,1.0,0.3,1.0,0.1,1.6,6.3
SF,4,0,16.8,2.3,5.5,0.409,0.5,2.8,0.182,1.8,2.8,0.636,0.455,1.3,2.0,0.625,0.3,2.5,2.8,1.5,0.5,0.3,1.5,2.3,6.3
C,9,0,13.6,2.7,4.7,0.571,0.0,0.0,,2.7,4.7,0.571,0.571,0.8,1.4,0.538,2.3,2.4,4.8,0.8,1.2,0.2,1.0,1.2,6.1
SF,8,2,26.9,2.4,6.8,0.352,0.9,3.3,0.269,1.5,3.5,0.429,0.417,0.5,0.6,0.8,1.0,5.5,6.5,2.5,1.0,0.1,1.0,1.9,6.1
PG,7,0,14.3,2.4,6.1,0.395,0.4,2.3,0.188,2.0,3.9,0.519,0.43,0.9,0.9,1.0,0.1,0.6,0.7,2.7,0.9,0.0,0.9,1.0,6.1
SF,8,0,19.9,2.0,5.0,0.4,1.4,4.0,0.344,0.6,1.0,0.625,0.538,0.8,0.9,0.857,0.6,2.6,3.3,0.4,0.5,0.4,1.3,1.6,6.1
SF,5,3,19.8,2.2,4.4,0.5,1.0,2.2,0.455,1.2,2.2,0.545,0.614,0.6,1.4,0.429,0.6,2.8,3.4,1.4,0.4,1.2,0.0,0.8,6.0
